<TEAM_ID>,<MISSION_TIME>,<PACKET_COUNT>,<PACKET_TYPE>,<MODE>,<TP_RELEASED>,  <ALTITUDE>,<TEMP>,<VOLTAGE>,<GPS_TIME>,<GPS_LATITUDE>,<GPS_LONGITUDE>,  <GPS_ALTITUDE>,<GPS_SATS>,<SOFTWARE_STATE>,<CMD_ECHO>
1082,No data,0,C,F,N,-34.80403,22.04C,3.278247,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,F,N,-34.4394,22.24C,3.281469,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,F,N,-34.6085,22.26C,3.273412,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,F,N,-34.73005,22.29C,3.277441,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,F,N,-34.61379,22.27C,3.276635,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,F,N,-34.60322,22.28C,3.289526,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,F,N,-34.59265,22.28C,3.276635,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.24C,3.279858,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.09C,3.27019,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.03C,3.285498,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.03C,3.282275,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.01C,3.270996,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.01C,3.272607,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.00C,3.281469,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.99C,3.284692,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.99C,3.279858,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.295166,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.279052,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.277441,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.273412,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.99C,3.266967,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.99C,3.276635,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.281469,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.275024,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.97C,3.26455,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.97C,3.266967,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.279858,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.97C,3.263744,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.97C,3.278247,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.97C,3.275024,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.272607,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.98C,3.284692,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.99C,3.279858,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.99C,3.266967,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,21.99C,3.291137,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.00C,3.283081,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.00C,3.272607,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
1082,No data,0,C,S,N,0.0,22.00C,3.273412,15:48:02,36.3501,-3.3501,50.3,16,PRE-DEPLOY,None
